辆格内靛,辆格疙,朝楼,矫啊,绊啊,历啊,辆啊,芭贰樊
A328130,风粗,20220721,30800,40000,29700,40000,3586045
A328130,风粗,20220722,39350,48950,38450,40400,4013435
A328130,风粗,20220725,39700,42500,36650,37400,868277
A328130,风粗,20220726,37300,40250,35800,36750,933368
A328130,风粗,20220727,38150,43200,37550,39100,2199376
A328130,风粗,20220728,38700,40300,36900,39950,446474
A328130,风粗,20220729,39550,43500,38100,38100,1075593
A328130,风粗,20220801,39900,42250,38700,38950,852918
A328130,风粗,20220802,40900,48600,40000,45350,3806642
A328130,风粗,20220803,45350,46000,42750,43500,649161
A328130,风粗,20220804,43600,43650,41350,41850,428396
A328130,风粗,20220805,41200,42300,40500,41600,282606
A328130,风粗,20220808,41500,43000,41200,42100,209083
A328130,风粗,20220809,43200,44700,41400,41850,527727
A328130,风粗,20220810,42350,43000,40050,41700,339951
A328130,风粗,20220811,42250,42300,40800,40900,191304
A328130,风粗,20220812,40250,41600,39650,39750,168774
A328130,风粗,20220816,39650,40000,38250,39000,132799
A328130,风粗,20220817,38850,41400,38450,39750,211497
A328130,风粗,20220818,39050,39400,38450,39300,88002
A328130,风粗,20220819,39150,41800,38600,40800,282272
A328130,风粗,20220822,40100,40400,37400,37400,293442
A328130,风粗,20220823,36650,38100,35600,37450,105088
A328130,风粗,20220824,37450,39900,37400,39050,109192
A328130,风粗,20220825,39300,41550,38950,40000,224342
A328130,风粗,20220826,40300,40400,38500,39000,89299
A328130,风粗,20220829,37250,38100,35000,35600,114572
A328130,风粗,20220830,36250,37250,35350,36750,66591
A328130,风粗,20220831,36800,38550,36000,37800,87174
A328130,风粗,20220901,37300,39150,37250,37500,61229
A328130,风粗,20220902,38100,38500,36100,36250,55299
A328130,风粗,20220905,36250,36750,32750,33300,170864
A328130,风粗,20220906,33900,34100,33000,33450,29720
A328130,风粗,20220907,33500,33750,30750,31000,87027
A328130,风粗,20220908,31250,32900,31250,32850,46856
A328130,风粗,20220913,33700,34600,32500,32550,76582
A328130,风粗,20220914,31350,32100,30750,31250,75081
A328130,风粗,20220915,32600,33700,31050,31700,92528
A328130,风粗,20220916,31400,31400,29450,30050,127770
A328130,风粗,20220919,30050,30300,28800,29300,36973
A328130,风粗,20220920,29350,30250,29150,29150,35216
A328130,风粗,20220921,28950,29350,28050,28550,31645
A328130,风粗,20220922,28100,28700,27300,28450,41404
A328130,风粗,20220923,28150,28700,26900,27100,39941
A328130,风粗,20220926,26650,26700,24650,25250,69204
A328130,风粗,20220927,25250,25500,24500,25300,35844
A328130,风粗,20220928,25350,25750,23300,23800,45125
A328130,风粗,20220929,24100,25300,24100,24450,36349
A328130,风粗,20220930,24150,25000,23150,23900,46026
A328130,风粗,20221004,24300,25200,23950,24800,34357
A328130,风粗,20221005,25000,25200,22350,22700,136453
A328130,风粗,20221006,23350,24700,22950,23950,42048
A328130,风粗,20221007,23550,23900,22250,22400,69431
A328130,风粗,20221011,21600,21600,19450,19850,99450
A328130,风粗,20221012,20000,21550,19100,20750,139660
A328130,风粗,20221013,20500,20550,18900,19450,87157
