날짜,제목,내용
2022.07.19 09:34,"AI 진단기업 루닛 21일 상장, 투자자들 유의할 점은","피어그룹 AI 진단 상장사 제외상장 직후 유통 가능 물량 49%2025년 순이익 583억원이 목표미국 등 글로벌 시장 확보 관건[이데일리 김유림 기자] 의료 인공지능(AI) 진단회사 루닛이 코스닥 입성을 앞두고 있다. 시장 전문가들은 기관투자자의 저조한 락업(의무보유) 참여율, 피어그룹 산정 배경, 글로벌 시장 진출 계획등 3가지 부분을 면밀하게 살펴봐야 한다고 조언한다.  루닛 AI 의료기기 제품. (자료=루닛)18일 금융감독원 전자공시시스템에 따르면 루닛은 지난 7~8일 진행한 기관투자자 수요예측 경쟁률이 7.1대 1을 보이며 올해 역대 최저를 기록했다. 공모가는 희망 밴드(4만 4000~4만 9000원)보다 32% 낮은 3만원으로 결정됐다. 기대 시가총액은 5699억~6346억원에서 3156억원으로 대폭 줄어들었다. 코스닥 상장은 오는 21일이다.루닛은 수요예측 참여 기관투자자 중 락업 물량 역시 1.65%에 불과하다. 상장일에 곧바로 유통 가능한 물량은 49.3%이다. 이는 IPO 회사의 평균 유통가능물량 약 35%보다 훨씬 높다. 기관투자자들은 좀 더 많은 공모주를 받고 싶을 때 락업을 건다. 지난해 상장한 SK바이오사이언스의 수요예측에서 기관투자자 락업 비중은 85%에 달했다. 일각에서는 루닛이 저조한 락업으로 상장 직후 주가가 약세를 나타낼 가능성을 제기하기도 한다.  일각의 우려와 관련해 루닛 관계자는 “루닛의 외국인 지분은 25%로 국내 대형 제약·바이오는 물론 타 산업 기업과 비교해봐도 크게 높은 수준이다”며 “통상적으로 외국인 전략적투자자(SI)와 재무적투자자(FI)는 회사의 미래에 장기간 투자하는 만큼 상장 후 루닛의 성장을 지지할 것으로 예상된다. 이번 수요예측 등을 통해 회사의 미래를 믿고 투자해주신 투자자분들께 보답하기 위해 더 좋은 회사로 성장해 나가기 위해 노력할 것”이라고 설명했다. 공모가 산정 과정에서 선정된 피어그룹(peer group, 유사기업)에 대해서도 의문이 제기된다. 루닛의 투자설명서를 살펴보면 셀바스에이아이, 비트컴퓨터, 트윔 3곳을 피어그룹으로 꼽았으며, 제약·바이오 산업과 전혀 무관하다. 루닛의 주관사 NH투자증권은 셀바스에이아이, 비트컴퓨터, 트윔의 최근 12개월(2021년 4~2022년 3월) 순이익을 비교해 주가수익비율(PER) 34.82배를 적용했다. 하지만 의료 AI 진단회사 상장사는 이미 국내에도 뷰노, 제이엘케이, 딥노이드 3곳이 있다. 이들 AI 진단회사 모두 루닛과 마찬가지로 기술특례상장을 통해 코스닥에 입성했다. 루닛 측은 “루닛은 공모가 산정을 위해 미래 예상 수익을 현재가치로 환산한 PER 지표를 활용했다”며 “루닛은 2025년 추정 순이익을 583억원으로 예측했으며, 셀바스AI, 비트컴퓨터, 트윔을 피어그룹으로 최종 선정했다”고 말했다. 루닛의 지난해 당기순손실 737억원을 기록했다. 회사 측이 자신한 2025년 순이익 583억원을 달성하기 위해서는 글로벌 진출이 관건일 것으로 전망된다. 루닛의 주요 제품은 암 진단을 위한 AI 영상분석 솔루션 루닛 인사이트(Lunit INSIGHT), 암 치료를 위한 AI 바이오마커 플랫폼 ‘루닛 스코프(Lunit SCOPE)’가 있다. 폐암과 유방암을 진단해주는 루닛 인사이루닛 인사이트는 후지필름, GE헬스케어 등 글로벌 의료기기회사와 파트너십을 맺었다. 루닛스코프는 글로벌 액체생검 1위 회사인 가던트헬스와 파트너십을 체결하고 판매 채널을 구축했다.루닛 관계자는 “구체적인 마케팅 전략은 오픈할 시점은 아니지만, 현지 메이저기업을 통해 시장 진출이 진행 중이다”며 “그들과 계약을 맺은 지 불과 1~2년 동안 아직 사업모델을 테스트 중인 상황에서 점유율 0.8% 기록했다. 이는 앞으로 점유율 업사이드가 높게 열려 있다고 보고 있다”고 강조했다."
2022.07.19 19:06,"거래소 ""루닛 신규 상장 승인""…기술특례로 코스닥 입성","서울 여의도 한국거래소 전경. 2015.7.2/뉴스1 © News1 박세연 기자(서울=뉴스1) 정지형 기자 = 한국거래소는 19일 루닛의 코스닥시장 신규 상장을 승인했다고 밝혔다.지난 2013년 설립된 루닛은 인공지능(AI) 기반 의료영상 진단과 치료 플랫폼 개발 기업이다.대표 제품은 암 진단을 위한 AI 영상분석 솔루션 '루닛 인사이트'와 암 치료를 위한 AI 바이오마커 플랫폼 '루닛 스코프'가 있다.코스닥 기술특례 상장을 진행한 루닛은 모든 평가기관에서 AA등급을 받았다.지난해 말 기준 자본금은 60억7900만원이다.지난해 매출액은 66억3900만원이며 영업적자 457억원, 당기순손실 737억원을 기록했다.공모가격은 3만원으로 총 364억7400만원을 공모했다.NH투자증권이 공모를 주관했다.상장일은 오는 21일이다."
2022.07.20 16:14,"루닛·에이프릴, 흥행실패에 조달규모도 축소…어떤 투자 줄였나"," [이달 코스닥 상장 앞둬공모가 희망 최하단보다 20~30% ↓]루닛, 에이프릴바이오가 코스닥 상장을 위한 수요예측 흥행에 실패했다. 공모가가 희망 최소가격보다도 20~30% 낮은 수준으로 결정되면서 이들이 손에 쥘 수 있는 공모자금도 30% 정도 감소 했다. 두 회사는 인력채용 규모를 줄이고 자금 집행기간을 3년에서 2년으로 줄이는 등의 방법으로 자금 사용계획을 변경했다. ━루닛, 임상 인허가부터 채용까지 고르게 축소 ━20일 금융감독원 전자공시시스템에 따르면 오는 21일 코스닥 상장을 앞둔 루닛은 최근 공모가를 '희망하던 가격대(4만4000~4만9000원)' 최하단보다도 32% 낮은 3만원으로 확정했다. 그 결과 총 공모금액은 총 365억원, 수수료 등을 뺀 순수입금은 358억원으로 줄었다. 당초 기대(최하단인 4만4000원 적용)보다 163억원가량(감소율 31%) 적은 자금을 확보했다. 이에 루닛은 공모자금 사용계획을 변경했다. 당초 루닛은 올해부터 2024년까지 3년간 △암 진단을 위한 AI(인공지능) 영상분석 솔루션 '루닛 인사이트(Lunit INSIGHT)', 암 치료를 위한 AI 바이오마커 플랫폼 '루닛 스코프(Lunit SCOPE)' 국내외 임상 인허가에 264억5400만원 △다양한 암환자군 등 데이터 구매·관리에 180억4900만원 △신규인력 채용에 75억9600만원을 사용하겠다고 발표했다. 올해 4분기부터 2025년 1분기까지 국내외에서 루닛 스코프, 루닛 인사이트 인허가를 받겠단 목표 하에 자금 사용계획을 인허가, 데이터 확보, 인력채용으로 세분화한 것이다.하지만 공모가가 낮게 책정되면서 용처별, 연도별 배정한 자금 규모를 고르게 31%씩 줄였다. 수정안에선 △임상 인허가 181억8900만원 △데이터 구매·관리 124억1000만원 △신규인력 채용 52억2300만원(용처별), △올해 139억3400만원 △2023년 133억3800만원 △2024년 85억5100만원(연도별)으로 계획이 바뀌었다. 특히 3년간 신규 채용하기로 한 인력 수가 78명에서 53명으로 줄었다. 당장 올해 공모자금을 활용해 54명을 뽑으려던 계획에 차질이 생긴 셈이다. 다만 루닛 관계자는 ""기대보다 자금 조달액이 줄기는 했지만 사업 진행에 무리가 없다""며 ""기존에 투자받은 돈, 상장 후 들어오는 돈을 합쳐 운용의 미를 발휘해 인허가, 제품개발, 판로개척 등에 사용하겠다""고 전했다. 올 3월 말 기준 루닛의 연결 기준 현금 및 현금성자산은 291억원으로 작년 말(157억원)보다 85% 많아졌다. 재작년 말(87억원)보다는 234% 많은 수준이다. ━에이프릴바이오, 2024년 계획서 삭제━사정은 에이프릴바이오도 비슷하다. 오는 28일 코스닥 시장에 상장하는 에이프릴바이오는 최근 공모가가 1만6000원으로 확정됐다. 공모가 희망범위(2만~2만3000원)의 최하단보다 20% 낮은 수준이다. 총 공모금액은 324억원(최하단인 2만원 적용)에서 207억원으로, 순수입금이 317억원에서 202억원으로 대폭 줄었다. 이에 에이프릴바이오도 공모자금 사용계획 수정에 나섰다. 가장 눈에 띄는 건 자금 집행기간을 3년에서 2년으로 줄인 것이다. 당초 △2022년 88억4400만원 △196억3700만원 △2024년 32억8100만원의 공모자금 집행을 예정했던 에이프릴바이오는 사용 예정액을 △2022년 81억9100만원 △2023년 121억원으로 줄이고 2024년은 아예 계획에서 뺐다. 용처별로는 △후보물질도출부터 CRO(임상시험수탁), 후보물질도출을 위한 시약소모품, 자문료 등 연구개발비 251억9000만원에서 167억9100만원 △인건비 등 운영자금 65억7200만원에서 35억원으로 모두 줄었다.   에이프릴바이오도 자체 보유현금을 활용해 운영에 나선다는 방침이다. 에이프릴바이오 측은 ""연구개발자금, 운영자금 순의 우선순위를 설정해 유입자금을 사용할 계획""이라며 ""예상 자금소요 중 계획한 자금 조달시기 지연 및 조달자금 부족의 경우 자체 보유현금을 통해 집행할 계획""이라고 밝혔다. 올 3월 말 별도 기준 에이프릴바이오 현금 및 현금성자산은 170억원이다. 단기금융상품 390억원을 포함하면 560억원으로 늘어난다. "
2022.07.21 09:09,"[특징주]루닛, 시초가 공모가 소폭 웃돌아…10%대 상승중"," [이데일리 안혜신 기자] 루닛(328130)이 공모가를 소폭 웃도는 수준에서 시초가를 형성한 뒤 상승하고 있다.21일 마켓포인트에 따르면 오전 9시6분 현재 루닛은 시초가(3만800원)보다 12.66%(3900원) 상승한 3만4700원에 거래되고 있다. 개장과 함께 시초가 아래인 2만9700원까지 하락하기도 했지만 곧 회복했다.시초가는 공모가인 3만원보다 소폭 높은 수준에 형성됐다. 루닛은 기관 수요예측 경쟁률 7.10대 1을 기록하면서 희망 공모가밴드(4만4000~4만9000원)보다 낮은 수준인 3만원으로 공모가를 결정한 바 있다.루닛은 지난 2013년 설립한 인공지능 기반의 의료영상 진단 및 치료 플랫폼 개발 기업이다. 대표 제품은 암 진단을 위한 AI 영상분석 솔루션 ‘루닛 인사이트(Lunit INSIGHT)’와 암 치료를 위한 AI 바이오마커 플랫폼 ‘루닛 스코프(Lunit SCOPE)’가 있다.루닛은 AI 기술력을 바탕으로 코스닥 기술특례 상장을 위한 기술성 평가에서 국내 헬스케어 기업 최초로 모든 평가기관으로부터 모두 AA등급을 획득했다. GE헬스케어, 필립스, 후지필름과 같은 글로벌 메이저 의료기기 기업과 파트너십을 맺고 전 세계 600여 개 이상의 의료기관에 제품을 공급 중이다.루닛은 이번 기업공개(IPO)를 통해 확보한 공모 자금을 제품 연구개발(R&D) 및 인허가 과정에 투자하고, 글로벌 파트너십 구축 운영자금으로 사용한다는 계획이다."
2022.07.21 09:13,"[특징주] 루닛, 코스닥 상장 첫날 ‘상승’","         루닛 주가가 코스닥 입성 첫날 급등하고 있다.21일 오전 9시 11분 현재 루닛 주가는 시초가(3만800원) 대비 15.58% 오른 3만5600원에 거래되고 있다.루닛은 지난 7~8일 국내외 기관 투자자를 대상으로 수요예측을 진행한 후 공모가를 3만원으로 확정한 바 있다. 당초 제시한 공모 희망밴드(4만4000~4만9000원)와 비교해 하단 기준 31.8% 낮은 수준이다.루닛은 인공지능 기반의 의료영상 진단·치료 플랫폼 개발 기업이다. 대표 제품으로는 암 진단을 위한 인공지능(AI) 영상분석 솔루션 ‘루닛 인사이트(Lunit INSIGHT)’, 암 치료를 위한 AI 바이오마커 플랫폼 ‘루닛 스코프(Lunit SCOPE)’가 있다.이날 허혜민 키움증권 연구원은 “현재 GE헬스케어 후지필름 필립스 아그파 등 글로벌 영상 의료기기 및 영상의료저장전송시스템(PACS) 회사들과의 협력해, 세계 약 50% 판로를 확보한 상태”라며 “사용량과 판매 대수가 늘어날수록 매출이 폭발적으로 성장할 것으로 보인다”고 전망했다."
2022.07.21 09:16,"[특징주] 루닛, 상장 첫날 강세","시가기준가보다 15.91%↑서범석 루닛 대표. 성형주 기자[서울경제] 의료 인공지능(AI) 기업 루닛(328130)이 코스닥 시장 상장 첫날 강세다.21일 오전 9시 12분 기준 루닛은 시가기준가보다 15.91% 오른 3만 5700원에 거래되고 있다. 공모가는 3만 원이다.루닛은 지난해 말 장외 시장에서 시가총액이 1조 원을 넘어서는 등 바이오 공모주 중 중형급으로 꼽혔던 종목이다. 특히 국내 헬스케어 기업 중 최초로 기술 평가기관 두 곳에서 AA(더블A) 등급을 받을 정도로 높은 기술력을 인정받기도 했다. 루닛은 기술 특례 상장을 추진하기 위해 기술성 평가를 받은 바 있다. 허혜민 키움증권 연구원은 “현재 GE헬스케어 후지필름 필립스 아그파 등 글로벌 영상 의료기기 및 영상의료저장전송시스템(PACS) 회사들과의 협력해, 세계 약 50% 판로를 확보한 상태”라며 “사용량과 판매 대수가 늘어날수록 매출이 폭발적으로 성장할 것”이라고 전망했다. 허 연구원은 “글로벌 빅파마를 비롯한 신약 개발사로부터 단계별기술료(마일스톤), 경상기술사용료(로열티) 등을 통해 실적과 가치를 대도약(퀀텀점프)시킬 수 있을 것”이라며 ""해외 시장 상황과 탄탄한 기초체력(펀더멘털)을 고려하면 중장기적인 관점에서 저평가된 매수 기회”라고 말했다."
2022.07.21 09:29,"[특징주]루닛, 해외서 탐내는 암 정복 솔루션…전세계 50% 판로 확보","코스닥 신규 상장…공모가 산정시 낮아진 밸류가 매력적맞춤형 항암치료 시대…면역항암제 반응률 높이는 기술 루닛이 코스닥 시장 상장 첫날 강세다. 21일 오전 9시28분 루닛은 시초가보다 12.66% 오른 3만4700원에 거래되고 있다.공모가인 3만원보다 소폭 높은 3만800원으로 거래를 시작했다. 루닛은 기관 수요예측 경쟁률 7.10대 1을 기록하면서 희망 공모가밴드(4만4000~4만9000원)보다 낮은 수준인 3만원으로 공모가를 확정했다.루닛은 2013년 설립한 인공지능(AI) 기반의 의료영상 진단 및 치료 플랫폼 개발 기업이다. 대표 제품은 암 진단을 위한 AI 영상분석 솔루션 ‘루닛 인사이트(Lunit INSIGHT)’와 암 치료를 위한 AI 바이오마커 플랫폼 ‘루닛 스코프(Lunit SCOPE)’가 있다.루닛은 AI 기술력을 바탕으로 코스닥 기술특례 상장을 위한 기술성 평가에서 국내 헬스케어 기업 최초로 모든 평가기관으로부터 모두 AA등급을 획득했다. GE헬스케어, 필립스, 후지필름과 같은 글로벌 메이저 의료기기 기업과 파트너십을 맺고 전 세계 600여 개 이상의 의료기관에 제품을 공급 중이다.키움증권은 루닛에 대해 글로벌 시장상황과 견고한 펀더멘털을 고려하면 중장기적인 관점에서 저평가 된 매수 기회라고 분석했다. 핵심 경쟁력은 해외 시장에서 인정받는 인공지능 기술 역량과 의학 전문성을 꼽았다.허혜민 키움증권 연구원은 ""확정 공모가액 3만원은 희망 공모가 상단 기준 대비 40% 가량 낮은 수준""이며 ""상장 직후 유통가능물량(467만주, 44%)에 대한 우려와 지속적인 영업손실을 통한 실적 부담이 우려 요인으로 작용했다""고 설명했다.이어 ""글로벌 시장상황과 견고한 펀더멘털을 고려한다면 이는 오히려 중장기적인 관점에서 저평가된 매수 기회""라고 덧붙였다. 허 연구원은 ""글로벌 기업인 PathAi, Paige, Viz.ai,Heartflow 모두 시리즈 C, D 단계에서 최고 10억 달러 이상의 가치를 인정받았다""며 ""FDA허가 및 NTAP(공공의료수가) 적용 사례들이 나타나며 본격적으로 제도권 안에서 매출로 이어질 수 있는 여건이 만들어지고 있다""고 강조했다.그는 ""올해 예상 매출액 207억원은 지난해보다 213.6% 늘어난 규모""라며 ""추가 파트너십 계약을 통한 INSIGHT의 지속적인 매출 확대, 가던트헬스와의 연구계약을 통한 SCOPE의 연구용 매출, 향후 FDA 허가를 통한 CDx(동반진단) 계약 등을 통해 2년 내 실적 우려 또한 잠식시킬 수 있을 것""이라고 기대했다. 가던트헬스와의 계약은 계약 기간 내 조직 검사 분야에서 경쟁사의 진입은 불가능하다는 점과 가던트헬스가 보유한 대규모 제약사, 병원 유통채널을 확보했다는 점에서 큰 의미를 갖는다고 허 연구원은 판단했다.루닛 인사이트는 영상을 기반으로 폐 질환(CXR)과 유방암(MMG) 진단을 보조하는 솔루션이다. 100여편이 넘는 논문과 학회를 통해 진단의 정확도를 증명했다. 폐암과 유방암 환자의 약 50%에 대해 조기 진단이 가능하다. 루닛 스코프는 바이오마커 발굴을 통한 맞춤형 항암치료 솔루션이다. 약 20~30% 수준의 면역항암제 반응률(ORR)을 환자 선별을 통해 50% 이상으로 높이는 것이 목표다. 현재 글로벌 액체생검 1위 기업인 가던트헬스와의 공동 연구를 진행하고 있다.허 연구원은 ""전세계 약 50%의 판로를 확보한 상태""라며 ""연간 판매되는 의료기기(연간 8만대)와 판독되는 영상 수(연간 17억장)의 시장 규모에서 현재 루닛 제품이 탑재된 기기의 점유율은 약 1% 정도""라고 분석했다. 이어 ""앞으로 시장 업사이드가 매우 큰 상황""이며 ""최근 경쟁사의 영상 기반 진단 솔루션의 NTAP(공공의료수가) 등재가 이뤄지며 우호적인 시장 상황을 보이고 있다""고 덧붙였다.AI 진단 소프트웨어의 매출 판로는 X-레이와 같은 의료기기 탑재를 통한 판매, 각 병원의 PACS 시스템내 설치를 통한 영상 당 과금형태로 나뉜다. 루닛은 2가지 판로 모두에서 경쟁력 있는 글로벌 회사와의 계약 완료 및 진행 중인 상태다. 경쟁사 대비 판로 확보에 우위를 점하고 있다. 글로벌 X-레이 의료기기 시장 중 톱5 가운데 3개 회사와 계약을 체결했다. 유방촬영기기 시장 1위 기업(Hologic)과는 현재 계약 막바지 상태인 것으로 알려졌다."
2022.07.21 09:30,"[특징주] 루닛, 상장 첫날 공모가 대비 19% 오른 3만5750원",루닛. /뉴스1(서울=뉴스1) 정지형 기자 = 21일 코스닥시장에 상장한 루닛이 장 초반 공모가를 19% 상회한 금액에서 거래되고 있다.이날 오전 9시10분 현재 루닛은 시초가 대비 16.07%(4950원) 오른 3만5750원에 거래 중이다.공모가(3만원)와 비교해서는 19.2% 상승한 수준이다.지난 2013년 설립된 루닛은 인공지능(AI) 기반 의료영상 진단과 치료 플랫폼 개발 기업이다.대표 제품은 암 진단을 위한 AI 영상분석 솔루션 '루닛 인사이트'와 암 치료를 위한 AI 바이오마커 플랫폼 '루닛 스코프'가 있다.
2022.07.21 09:38,"루닛, 코스닥 상장 첫날 상승","의료 인공지능(AI) 기업 루닛이 코스닥 시장 상장 첫날 상승하고 있다.21일 오전 9시34분 기준 루닛은 시초가보다 6250원(20.29%) 오른 3만7050원에 거래되고 있다.시초가는 공모가(3만원) 대비 약 2.7% 높은 3만800원에 형성됐다.앞서 루닛은 지난 7~8일 이틀간 진행한 기관투자자 수요예측에서 7.10대 1의 경쟁률을 기록했다. 공모가는 희망밴드(4만4000~4만9000원) 하단보다 32% 낮은 3만원으로 결정됐다.루닛은 AI 기반의 의료영상 진단·치료 플랫폼 개발 기업이다. 대표 제품으로는 암 진단을 위한 AI 영상분석 솔루션 ‘루닛 인사이트(Lunit INSIGHT)’, 암 치료를 위한 AI 바이오마커 플랫폼 ‘루닛 스코프(Lunit SCOPE)’가 있다.허혜민 키움증권 연구원은 “현재 루닛은 GE헬스케어 후지필름 필립스 아그파 등 글로벌 영상 의료기기 및 영상의료저장전송시스템(PACS) 회사들과의 협력해 세계 약 50% 판로를 확보한 상태”라며 “사용량과 판매 대수가 늘어날수록 매출이 폭발적으로 성장할 것”이라고 말했다."
2022.07.21 09:40,[핫스탁]일동제약·코오롱글로벌우·루닛,"기사내용 요약일동제약, 코로나 치료제 日보류에 하한가 코오롱글로벌우, 인적분할 소식에 상한가루닛, 코스닥 상장 첫날 한때 공모가 하회 *재판매 및 DB 금지 [서울=뉴시스] 이승주 기자 = ◇일동제약 = 일동제약이 경구용 코로나19 치료제 '조코바'에 대한 판단 승인이 보류됐다는 소식에 하한가를 기록했다.일동제약은 이날 오전 9시31분께 29.96% 하락한 하한가 3만7400원에 거래 중이다. 전일 판단 승인 보류 소식에 개장과 동시에 하한가로 출발했다.일본 보건당국이 일동제약과 일본 시오노기제약이 공동 개발 중인 먹는 코로나19 치료제 ‘조코바’의 긴급사용승인 여부에 대해 결론을 내지 못하고 판단을 보류하자, 투자심리가 악화된 것으로 풀이된다. 전일 일본 교도통신 등 외신에 따르면 일본 후생노동성은 약사분과회와 의약품 제2부회의 합동회의에서 조코바의 긴급사용승인 여부를 심의했으나 ‘계속 심의’하기로 하고 승인을 보류했다. 향후 나올 임상 3상시험 결과 등을 보고 다시 심의하기로 했다.이날 일부 위원은 ""조코바가 바이러스 양을 감소시키는 효과가 있고 격리기간을 단축할 가능성이 있다""고 긍정적인 의견을 냈으나 ""임상 증상 개선 등 유효성 데이터가 불충분하다""며 신중하자는 의견이 대세를 이루며 보류됐다. 앞서 지난 달 22일 열린 전문 부회에서도 신중한 논의를 거듭할 필요가 있다며 승인을 유보한 바 있다.조코바는 일동제약이 시오노기제약과 공동 개발 협약을 체결한 후 국내 도입을 준비 중인 치료제다. 코로나19를 일으키는 바이러스가 가진 단백질 분해효소(3CL-프로테아제)를 저해해 체내 바이러스 증식을 억제한다.국내에선 지난해 11월 시오노기와 공동 개발 협약을 체결한 일동제약이 ‘S-217622’라는 물질명으로 국내 임상 3상을 진행 중이다. 지난 달 국내 임상 환자 모집을 완료하고 데이터를 분석하고 있다.◇코오롱글로벌우 = 코오롱글로벌이 건설과 자동차부문을 분할한다는 소식에 우선주 주가가 개장 초부터 상한가다.코오롱글로벌우는 21일 오전 9시20분께 30.00% 오른 상한가 3만5100원에 거래되고 있다. 상한가에 출발한 뒤 이 가격을 이어가고 있다. 코오롱그룹의 건설 수입차 사업을 맡고 있는 자회사 코오롱글로벌이 전일 건설과 자동차 부문을 분할한다고 밝혔다. 이후 회사 가치 제고에 대한 기대감에 코오롱글로벌도 10.50%, 코오롱 5.31%, 코오롱우 15.61% 등도 상승했다. BMW와 아우디, 볼보, 지프, 롤스로이스 등 수입차부문은 신설법인 코오롱모빌리티그룹으로 분할하고 기존의 건설과 상사부문, 코오롱스포렉스와 그 외 자회사는 존속법인 코오롱글로벌에 남는다.코오롱글로벌은 보유자산 가치를 기준으로 존속법인과 신설법인 사업을 내년 1월1일 75대 25의 비율로 인적분할하고 코오롱모빌리티그룹을 신설 및 재상장한다.이번 분할은 급변하는 시장 환경에서 신속하고 효율적인 의사결정으로 미래 성장을 가속화하는 데 있다고 회사측은 취지를 설명했다.◇루닛 = 의료 인공지능(AI) 진단기업 루닛이 코스닥 시장에 입성한 첫날 공모가(3만원)의 약 14% 강세를 보이고 있다.루닛은 이날 오전 9시26분께 공모가 대비 14% 오른 3만4250원에 거래되고 있다. 이날 공모가에서 소폭 오른 3만800원에 시초가가 형성된 뒤 한때 3만6850원까지 오르기도 했지만 2만9700원까지 떨어지는 등 공모가를 하회하기도 했다. 루닛은 지난 7~8일 국내외 기관 투자자를 대상으로 수요예측을 진행한 결과 공모가를 3만원으로 확정했다. 수요예측에 국내외 기관 총 162곳이 참여해 7.10대 1의 경쟁률을 기록했다. 루닛은 지난 2013년 설립한 인공지능 기반의 의료영상 진단·치료 플랫폼 개발 기업이다. 대표 제품은 암 진단을 위한 인공지능(AI) 영상분석 솔루션 '루닛 인사이트(Lunit INSIGHT)'와 암 치료를 위한 AI 바이오마커 플랫폼 '루닛 스코프(Lunit SCOPE)'가 있다.루닛은 코스닥 기술특례 상장을 위한 기술성 평가에서 국내 헬스케어 기업 중 처음으로 모든 평가기관으로부터 모두 AA등급을 획득했다. GE헬스케어, 필립스, 후지필름과 같은 글로벌 메이저 의료기기 기업과 파트너십을 맺고 전 세계 600여개 이상의 의료 기관에 제품을 공급 중이다.루닛은 이번 기업공개(IPO)를 통해 확보한 공모 자금을 제품 연구개발(R&D)과 인허가 과정에 투자하고, 글로벌 파트너십 구축 운영자금으로 사용해 지속 성장의 기틀을 마련할 계획이다. "
